"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"BIND","BIND Therapeutics, Inc.","7.31","149072230.58","n/a","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/bind",
"ORPN","Bio Blast Pharma Ltd.","6.41","91217376.8","n/a","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/orpn",
"BASI","Bioanalytical Systems, Inc.","2.07","16717415.22","n/a","1997","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/basi",
"BIOC","Biocept, Inc.","3.13","49973742.76","n/a","2014","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/bioc",
"BCRX","BioCryst Pharmaceuticals, Inc.","10.71","776029721.04","n/a","1994","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/bcrx",
"BIOD","Biodel Inc.","1.25","30775402.5","n/a","2007","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/biod",
"BDSI","BioDelivery Sciences International, Inc.","9.14","478071127.5","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/bdsi",
"BIIB","Biogen Inc.","422.11","99033115620.14","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/biib",
"BIOL","Biolase, Inc.","2.61","151778787.12","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/biol",
"BLFS","BioLife Solutions, Inc.","2.0164","24408437.3112","n/a","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/blfs",
"BLRX","BioLineRx Ltd.","2.12","49143365.96","23180833","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/blrx",
"BMRN","BioMarin Pharmaceutical Inc.","121.24","19293611904.28","n/a","1999","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/bmrn",
"BPTH","Bio-Path Holdings, Inc.","1.29","115794104.88","n/a","n/a","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/bpth",
"BRLI","Bio-Reference Laboratories, Inc.","34.83","967472074.08","n/a","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/brli",
"BIOS","BioScrip, Inc.","5.19","356225848.35","n/a","n/a","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/bios",
"BBC","BioShares Biotechnology Clinical Trials Fund","34.764","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bbc",
"BBP","BioShares Biotechnology Products Fund","33.19","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bbp",
"BSTC","BioSpecifics Technologies Corp","37.93","255747652.46","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/bstc",
"BSPM","Biostar Pharmaceuticals, Inc.","1.5","23214169.5","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/bspm",
"BOTA","Biota Pharmaceuticals, Inc.","2.36","82838267.96","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/bota",
"TECH","Bio-Techne Corp","101.78","3779529359.34","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/tech",
"BEAT","BioTelemetry, Inc.","8.95","239274392.55","n/a","2008","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/beat",
"BDMS","Birner Dental Management Services, Inc.","12.97","24120166.33","n/a","1998","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/bdms",
"BJRI","BJ&#39;s Restaurants, Inc.","51.54","1353760257.24","n/a","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/bjri",
"BBOX","Black Box Corporation","20","307264000","n/a","n/a","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/bbox",
"BDE","Black Diamond, Inc.","9.5","310689624.5","n/a","n/a","Consumer Non-Durables","Recreational Products/Toys","http://www.nasdaq.com/symbol/bde",
"BLKB","Blackbaud, Inc.","50.06","2318283205.52","n/a","2004","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/blkb",
"BBRY","BlackBerry Limited","10.03","5303887289.66","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/bbry",
"HAWK","Blackhawk Network Holdings, Inc.","35.84","475469388.8","n/a","2013","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/hawk",
